,review_id,user_id,business_id,stars,useful,funny,cool,text,date
0,xQY8N_XvtGbearJ5X4QryQ,OwjRMXRC0KyPrIlcjaXeFQ,-MhfebM0QIsKt87iDN-FNw,2,5,0,0,"As someone who has worked with many museums, I was eager to visit this gallery on my most recent trip to Las Vegas. When I saw they would be showing infamous eggs of the House of Faberge from the Virginia Museum of Fine Arts (VMFA), I knew I had to go!

Tucked away near the gelateria and the garden, the Gallery is pretty much hidden from view. It's what real estate agents would call ""cozy"" or ""charming"" - basically any euphemism for small.

That being said, you can still see wonderful art at a gallery of any size, so why the two *s you ask? Let me tell you:

* pricing for this, while relatively inexpensive for a Las Vegas attraction, is completely over the top. For the space and the amount of art you can fit in there, it is a bit much.
* it's not kid friendly at all. Seriously, don't bring them.
* the security is not trained properly for the show. When the curating and design teams collaborate for exhibitions, there is a definite flow. That means visitors should view the art in a certain sequence, whether it be by historical period or cultural significance (this is how audio guides are usually developed). When I arrived in the gallery I could not tell where to start, and security was certainly not helpful. I was told to ""just look around"" and ""do whatever."" 

At such a *fine* institution, I find the lack of knowledge and respect for the art appalling.",2015-04-15 05:21:16
1,I8ZL3cZoTWqwcJYipihbtQ,-koQoVsEGgN03TAgQd_DWA,hvOE0XwbC4UPfuHHiC_frg,1,0,0,0,"Dos Mas has to be one of the worst Mexican food restaurants we have ever been to. So where do I begin, we got the menu and there was not much of a selection. So we decided to order from the appetizer side and had the Mini Chimis, rice, beans anda quesadilla. The server brought us some chips and salsa. The chips tasted like old oil and the salsa was clumpy and watery. We got our quesadilla and Mini Chimis. The Mini Chimis had no flavor unless you call the taste of oil flavor. The beans also had no flavor and the rice was under cooked. I would like to say the only thing there that did taste good was the water but that was before the server put her finger in my cup to refill it. Can't say that we will ever make it back there..",2015-11-05 02:49:24
2,wNPbS-Geu3z6KMx_Kb78Yg,PbuXIB-7MRXcf1Ueg_g2lA,jzY_beeQKdvA-uZsqDke2Q,5,0,0,0,"I have been going to this place since I was 10-11. A decade later I still go every few months and the food is still a good. Some of the cashiers have watched my sister grow from an infant to a preteen to put it into perspective. 

The food is incredibly cheap and very quickly made. The chicken corn soup and spring roll has tasted the same for over a decade. 

The Szchewan chicken over fried rice, the beef ho fun, Singapore noodles, Malay noodles, house delight, deep fried tentacles, deep fried squid, the deep fried pork chops over fried rice and the Shanghai noodles are a must try. 

I can usually get an entree with soup or a spring roll for about $10-$15 depending on how hungry I am. You can usually feed a family of 4 on about $20-$30 here which is great!",2015-01-18 15:12:42
3,qDpyzYRGN_LLBrG0Tg_AmQ,ld-iE8bQfwowPen3TEoeBw,osSwv6CJy5hDKQdOKeyTow,4,0,0,0,"This is the best sushi I've ever enjoyed. Although the wait for s table on Saturday night was close to half an hour and akin to waiting to get into a club, the impressive menu, super friendly staff, and phenomenal food was well worth the wait. The sake selection is impressive, as are Ru San's specialty rolls. For those who enjoy nigiri, an equally impressive selection is available, at a reasonable price, and is very high quality. Pricing is actually less expensive than many ""wannabe"" sushi places. I'd give Ru San's five stars if they could work out their wait list and waiting area issues.",2015-01-18 17:10:34
4,o5TxrIiWTKVKDucVWR-zrg,wLP4raQIjcC5-98BvNT7fw,tI81vezqt-Mi8nsEBpfqbA,3,0,0,0,Outback does a great job as a chain of restaurants. This one seem to have it right.,2009-10-13 21:23:09
5,XN7Iv-rjA8NFQuyTrcd29g,YuPH1kMB4Ph_YzwqVD67fA,p0iEUamJVp_QpaheE-Nz_g,4,0,0,0,Love this place! It's so big and offers so much I do not need to go to another casino. And the Coronodo Cafe really has the best chef! Never disappointed here. Buffet not that good but everything else makes up for it!,2015-01-18 21:46:39
6,EvS5nw297gaT0jcrQiGbIQ,jMCjmW8F2zZThnkI4nPgXg,369mB3EF28oA_qmHzSviMg,5,3,1,2,"I waited until I had my touch up for my permanent eyebrows done to write this review. In a nutshell, I am VERY pleased with my whole experience here. I was very nervous going in but my fears were quickly alleviated. The whole procedure was easy and painless. I am very happy with the final result. My brows are the perfect color and look very natural. Would highly recommend.",2015-11-06 03:16:21
7,CgEwDGh_e1fB-KoIqGgNsg,_5ll-43n1teq697gcNa4HA,0FUtlsQrJI7LhqDPxLumEw,3,1,0,0,"Nice family environment, FREE food on birthdays Over all good service. Just not my favorite place to eat. If your looking for relaxed fast food it's good. I only go when it's a family birthday.",2016-10-14 04:47:22
8,35Hliw7cauCk97Ir2s2mJg,ZrN6jjXI41GP7Oieae6CNQ,vExvdgUbU377-Fry2uuv_w,4,0,0,0,"Pretty limited experience at this pub at the corner of King and Bathurst, but each time has been very good.

I used to work just up the street from here so if we finished early enough, myself and my co-workers would swing by for a cold beer or two before last call. Beer prices were good and the taps clean, which is a plus.

As for the food, I've had the burger, wings and pasta, and all were very good. I was especially impressed with the pasta (they have pasta night on Tuesdays, and I believe it's $5 a dish for either spaghetti with meatballs, lasagna or fettuccini with wine sauce). For such a good price and given that it's pub and not a pasta place, the quality is impressive.

The owner and staff are all very friendly. Prices are good. I believe they also have a burger special on one of the weekdays as well. 

Worth the trip!",2015-11-06 07:46:41
9,xp0Zhz6h6p03N0ZPDdevOg,rCx7tb3toOJUsvdOeqYY0g,flShaixBmJwKkJbSFyYBGw,3,3,3,3,"My husband has this hidden talent for magic - he doesn't have a ton of tricks but the tricks he knows, he is really good at. There are tricks to this day where I still don't know how he does it and he'll never disclose.

We had some time to kill before our table was ready at Gordon Ramsay's BurGR restaurant so we stopped in here to browse. The staff here is really awesome and very willing to demonstrate magic tricks.  They won't actually show you how their done unless you end up purchasing them. I agree with Adam C. where he notes that most of the tricks are a little cheesy but they're at the very least entertaining. The one trick my husbands been looking for was not available for purchase but we still picked up a few that he can do with younger nieces that they'll go crazy over. 

A great place to pass time and be entertained.",2013-03-18 17:51:33
